ID	p10_12M	p103_12M	p103_4M	p103_B	p10_4M	p105_12M	p105_4M	p105_B	p10_B	p1_12M	p12_12M	p12_4M	p128_12M	p128_4M	p128_B	p12_B	p133_12M	p133_4M	p133_B	p137_12M	p137_4M	p137_B	p1_4M	p150_12M	p150_4M	p150_B	p157_12M	p157_4M	p157_B	p172_12M	p172_4M	p172_B	p179_12M	p179_4M	p179_B	p180_12M	p180_4M	p180_B	p181_12M	p181_4M	p181_B	p184_12M	p184_4M	p184_B	p195_12M	p195_4M	p195_B	p1_B	p201_12M	p201_4M	p201_B	p203_12M	p203_4M	p203_B	p224_12M	p224_4M	p224_B	p229_12M	p229_4M	p229_B	p238_12M	p238_4M	p238_B	p240_12M	p240_4M	p240_B	p244_12M	p244_4M	p244_B	p256_12M	p256_4M	p256_B	p258_12M	p258_4M	p258_B	p263_12M	p263_4M	p263_B	p265_12M	p265_4M	p265_B	p268_12M	p268_4M	p268_B	p275_12M	p275_4M	p275_B	p276_12M	p276_4M	p276_B	p281_12M	p281_4M	p281_B	p282_12M	p282_4M	p282_B	p332_12M	p332_4M	p332_B	p335_12M	p335_4M	p335_B	p338_12M	p338_4M	p338_B	p341_12M	p341_4M	p341_B	p343_12M	p343_4M	p343_B	p345_12M	p345_4M	p345_B	p350_12M	p350_4M	p350_B	p377_12M	p377_4M	p377_B	p385_12M	p385_4M	p385_B	p387_12M	p387_4M	p387_B	p397_12M	p397_4M	p397_B	p42_12M	p42_4M	p42_B	p45_12M	p45_4M	p45_B	p503_12M	p503_4M	p503_B	p504_12M	p504_4M	p504_B	p507_12M	p507_4M	p507_B	p511_12M	p511_4M	p511_B	p521_12M	p521_4M	p521_B	p527_12M	p527_4M	p527_B	p53_12M	p532_12M	p532_4M	p532_B	p53_4M	p536_12M	p536_4M	p536_B	p53_B	p546_12M	p546_4M	p546_B	p549_12M	p549_4M	p549_B	p560_12M	p560_4M	p560_B	p565_12M	p565_4M	p565_B	p567_12M	p567_4M	p567_B	p570_12M	p570_4M	p570_B	p572_12M	p572_4M	p572_B	p577_12M	p577_4M	p577_B	p582_12M	p582_4M	p582_B	p585_12M	p585_4M	p585_B	p587_12M	p587_4M	p587_B	p589_12M	p589_4M	p589_B	p590_12M	p590_4M	p590_B	p591_12M	p591_4M	p591_B	p599_12M	p599_4M	p599_B	p608_12M	p608_4M	p608_B	p615_12M	p615_4M	p615_B	p622_12M	p622_4M	p622_B	p624_12M	p624_4M	p624_B	p626_12M	p626_4M	p626_B	p635_12M	p635_4M	p635_B	p637_12M	p637_4M	p637_B	p640_12M	p640_4M	p640_B	p70_12M	p70_4M	p70_B	p7_12M	p7_4M	p78_12M	p78_4M	p78_B	p7_B	p82_12M	p82_4M	p82_B	p9_12M	p9_4M	p9_B
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00377	0.0	0.0	0.00654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01076	0.0	0.0	0.01657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00818	0.0	0.0	0.01005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.03707	0.0	0.00149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	0.0	0.00075	0.00084	0.0	0.01383	0.0	0.0	0.00154	0.0	0.0	0.01678	0.04406	0.0	0.24107	0.0	0.0	0.0	0.05023	0.0	0.0	0.22262	0.0	0.0	0.0	0.0	0.0	0.00187	0.00506	0.0	0.0	0.01584	0.0	0.0	0.00886	0.0	0.0	0.02328	0.0	0.0	0.39076	0.0	0.0	0.0	0.0	0.00129	0.00905	0.0	0.0	0.0	0.0	0.0	0.0	1.16103	0.0	0.0	0.24057	0.0	0.00441	1.94548	0.00316	0.0	0.08581	0.0	0.0	0.03439	0.0	0.0	0.02168	0.0	0.00194	0.00471	0.0	0.0	0.00111	0.0	0.00168	0.42679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.31563	0.01478	0.0	0.0	0.0	0.0	0.09664	0.00895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.01933	0.0	0.0	0.00567	0.0	0.0	0.4896	0.0	0.00212	0.01821	0.0	0.0	0.03315	0.0	0.0	0.1233	0.00198	0.01565	0.1784	0.0	0.0206	0.02604	0.0	0.0	0.00161	0.0	0.00437	0.08572	0.0	0.0	0.11389	0.0	0.0	0.00517	0.03941	0.0	0.00344	0.0	0.0	0.0	0.0	0.0	0.0	0.31709	0.0	0.0	0.0	0.01495	0.0	0.0	0.00479	0.16657	0.0	0.0	0.0	0.0	0.0	0.14244	0.0	0.0	0.06641	0.0	0.0	0.33697	0.0	0.0	0.00357	0.0	0.0	0.0	0.00018	0.0	0.02857	0.0	0.00299	0.02601	0.0	0.00182	0.00842	0.0	0.0	0.0	0.0	0.01485	0.10862	0.0	0.0	0.22241	0.0	0.00022	0.12262	0.0	0.00214	0.3252	0.0	0.06828	0.02263	0.01293	0.00461	0.0	0.0	0.0	0.17167	0.0	0.0	0.0	0.0	0.0	0.33592	0.0	0.0	0.01123	0.0	0.0	0.04481	0.0	0.0	0.0	0.0	0.00138	0.0	0.0	0.0	0.20452	0.0	0.0	0.0	0.0	0.0	0.00972	0.0	0.0	0.18053	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Mobiluncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Varibaculum	0.0	0.0	0.0	0.0	0.00121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.02822	0.0	0.0	0.00579	0.0	0.76455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.01009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01117	0.12662	0.0	0.0	0.0	0.10061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242	0.0	0.0	0.0108	0.0	0.0	0.0	0.0	0.0	1.30329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.00413	0.0	0.0	0.0	0.0	0.0	0.01393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25941	0.0	0.0	0.0168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011	0.0	0.0	0.0	0.01647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04401	0.0	0.00698	0.0	0.0	0.0	0.029	0.0	0.0	0.10427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03464	0.0	0.0	0.0	0.09543	0.0	0.0	0.22582	0.0	0.0	0.0	0.0	0.0	0.20289	0.0	0.0	0.0	0.0	0.0	0.05583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00766	0.0	0.62155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetales_noname.g__Tropheryma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.00519	0.0	0.0	0.0	0.0	0.0	0.0	0.00918	0.0	0.0	0.0	0.00225	0.01016	0.0	0.00046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00753	0.0	0.00539	0.0	0.0	0.0	0.00401	0.0	0.00578	0.0	0.0	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00253	0.0	0.0	0.00439	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.00166	0.0	0.0	0.0	0.0	0.0	0.0	0.00386	0.0	0.00653	0.0	0.0	0.0	0.0	0.02602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0487	0.00238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00283	0.0	0.00121	0.0	0.0	0.00881	0.0	0.0	0.00077	0.0	0.0	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00717	0.01708	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00541	0.00213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01518	0.0	0.0	0.01399	0.0	0.00487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00496	0.0	0.0	0.0	0.0	0.0	0.00328	0.0	0.0	0.0	0.0	0.0	0.00439	0.0	0.00175	0.0	0.0	0.0	0.89776	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae.g__Dermabacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Kocuria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia	0.0	0.00442	0.03419	0.04469	0.04318	0.00473	0.33722	0.02479	0.0061	0.0	0.01655	0.15822	0.0	0.02253	0.92523	0.04031	0.0	0.00191	0.0	0.00484	0.00485	0.01481	0.0	0.0	0.07374	0.0	0.01743	0.03767	0.0	0.0	0.00151	0.02618	0.0	0.0	0.01845	0.01736	0.00097	0.03514	0.0	0.00946	0.0	0.0	0.00233	0.14213	0.0	0.01988	0.0	0.01011	0.0	0.06707	0.0	0.0	0.46979	0.03906	0.00774	0.03585	0.0	0.04957	0.31396	0.01651	0.04001	0.24501	0.0	0.11156	0.01204	0.0	0.0	0.00959	0.03665	0.01241	0.07196	0.05905	0.00495	0.20122	0.0	0.00739	0.00053	0.03283	0.02695	0.13494	0.01178	0.00269	0.03545	0.04363	0.02249	0.26531	0.0	0.01008	0.00282	0.0	0.0	0.00323	0.01292	0.03894	1.83384	0.12	0.00206	0.0	0.29003	0.05366	0.05095	0.01965	0.00287	0.0827	0.00774	0.0	0.0	0.0	0.00205	0.03913	0.0	0.0	0.0	0.17362	0.0	0.03659	0.1127	0.00281	0.00445	0.0	0.03532	0.12826	5.26744	0.0003	1.53142	0.00928	0.0	0.23543	0.02751	0.0	0.0	0.46491	0.0	0.0	0.0	0.0	0.00026	0.04907	0.0	0.02719	1.16435	0.01649	0.0	0.00991	0.01534	0.0	0.00262	0.0	0.0	0.0	0.02933	0.01878	0.0	0.0	0.0	0.02804	0.26353	0.0	0.00038	0.05734	0.63724	0.2155	0.0	0.00213	0.06923	0.0	0.01189	0.0	0.0	0.00427	0.57266	0.0073	0.01373	0.00012	0.00546	0.30586	0.10664	0.03146	0.0	0.03405	0.0025	0.0102	0.00911	0.0	0.03881	0.0	0.3272	0.01134	0.03318	0.05115	0.01216	0.00044	0.0	0.02071	0.09411	0.10931	0.0014	0.0	0.0237	0.00079	0.01106	0.01673	0.0	0.0	0.02017	0.15987	0.00873	0.0	0.01122	0.05877	0.0	0.0	1.31736	0.0	0.0	0.0	0.02687	0.0	0.01781	0.0	0.04009	0.0	0.00417	0.27763	1.65443	0.0	0.02656	0.11845	0.00072	0.01965	0.33248	0.00094	0.00273	0.03405	0.0	0.00451	0.0	0.0	0.08951	0.01662	0.0	0.00023	0.0142	0.01971	0.02841	0.0
